GESTFIPS,PRTAGE,PESEX,HRPOOR,HESS4,HESH4,HESHF4,HRFS12M1
1,29,1,2,3,-1,-1,1
1,40,1,2,-1,-1,-1,1
1,23,2,-1,-1,-1,-1,-1
1,27,1,-1,-1,-1,-1,-1
1,6,2,-1,-1,-1,-1,-1
1,2,1,-1,-1,-1,-1,-1
1,0,1,-1,-1,-1,-1,-1
1,47,1,2,-1,-1,-1,1
1,50,2,2,-1,-1,-1,1
1,43,2,-1,-1,-1,-1,-1
1,26,1,-1,-1,-1,-1,-1
1,2,1,-1,-1,-1,-1,-1
1,78,2,2,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
1,55,2,-1,-1,-1,-1,-1
1,58,1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
1,61,2,-1,-1,-1,-1,-1
1,64,2,-1,-1,-1,-1,-1
1,64,1,-1,-1,-1,-1,-1
1,41,2,-1,-1,-1,-1,-1
1,32,1,-1,-1,-1,-1,-1
1,32,2,-1,-1,-1,-1,-1
1,32,1,-1,-1,-1,-1,-1
1,32,2,-1,-1,-1,-1,-1
1,52,1,-1,-1,-1,-1,-1
1,56,2,-1,-1,-1,-1,-1
1,29,1,-1,-1,-1,-1,-1
1,56,2,2,3,-1,-1,1
1,31,2,2,3,-1,-1,1
1,75,1,2,3,-1,-1,1
1,0,2,2,3,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1
1,69,1,-1,-1,-1,-1,-1
1,71,2,-1,-1,-1,-1,-1
1,38,1,-1,-1,-1,-1,-1
1,51,2,-1,-1,-1,-1,-1
1,1,1,-1,-1,-1,-1,-1
1,2,1,-1,-1,-1,-1,-1
1,3,1,-1,-1,-1,-1,-1
1,46,2,-1,-1,-1,-1,-1
